partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L14e	PF01929	9	0	9
Ribosomal_L5	PF00281	1	0	1
Ribosomal_L6e_N	PF03868	1	1	0
Ribosomal_L30_N	PF08079	7	0	7
Ribosomal_L35Ae	PF01247	8	0	8
Ribosomal_L19e	PF01280	1	0	1
Ribosomal_L30	PF00327	4	0	4
Ribosomal_L44	PF00935	2	2	0
Ribosomal_L11	PF00298	2	0	2
Ribosomal_L31e	PF01198	2	2	0
Ribosomal_L11_N	PF03946	1	0	1
Ribosomal_L22e	PF01776	1	1	0
Ribosomal_L40e	PF01020	3	0	3
Ribosomal_L5_C	PF00673	1	0	1
Ribosomal_L32e	PF01655	4	4	0

