partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L23eN	PF03939	1	0	1
Ribosomal_L2	PF00181	5	0	5
Ribosomal_L6	PF00347	7	2	5
Ribosomal_L13e	PF01294	5	5	0
SecY	PF00344	2	0	2
Ribosomal_L44	PF00935	2	0	2
Ribosomal_L37e	PF01907	82	0	82
Ribosomal_L18e	PF00828	2	2	0
Ribosomal_L18p	PF00861	2	2	0
Ribosomal_L11_N	PF03946	1	0	1
KOW	PF00467	7	0	7
Ribosomal_L23	PF00276	81	0	81
Ribosomal_L15e	PF00827	6	1	5
Ribosomal_L7Ae	PF01248	6	0	6
Ribosomal_L22	PF00237	2	0	2
Ribosomal_L4	PF00573	5	0	5
Ribosomal_L21e	PF01157	2	0	2
Ribosomal_L5_C	PF00673	2	0	2

