partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L14e	PF01929	6	5	1
Ribosomal_L38e	PF01781	1	0	1
ubiquitin	PF00240	4	4	0
Ribosomal_L6	PF00347	3	0	3
Ribosomal_L6e	PF01159	3	0	3
Ribosomal_L30_N	PF08079	1	0	1
Ribosomal_L29	PF00831	3	0	3
Ribosomal_L15e	PF00827	2	2	0
Ribosomal_L7Ae	PF01248	2	0	2
Ribosomal_L18ae	PF01775	2	1	1
Ribosomal_L18p	PF00861	1	0	1
Ribosomal_L36e	PF01158	2	0	2
Ribosomal_L24e	PF01246	1	0	1
Ribosomal_60s	PF00428	1	0	1
KOW	PF00467	4	3	1
Ribosomal_L32e	PF01655	5	0	5

