partner domain	accession	number of occurrences	number intrachain	number interchain
RNA_pol_Rpb1_5	PF04998	18	0	18
Sigma70_r1_1	PF03979	2	0	2
RNA_pol_Rpb1_2	PF00623	170	159	11
RNA_pol_Rpb2_5	PF04567	106	0	106
RNA_pol_Rpb2_3	PF04565	154	0	154
RNA_pol_Rpb8	PF03870	3	0	3
RNA_pol_Rpb6	PF01192	165	0	165
RNA_pol_Rpb1_4	PF05000	169	158	11
RNA_pol_Rpb5_N	PF03871	94	0	94
TFIIS_M	PF07500	4	0	4
RNA_pol_Rpb2_6	PF00562	160	0	160
GreA_GreB_N	PF03449	6	0	6
RNA_pol_Rpb1_7	PF04990	90	90	0
RNA_pol_A_bac	PF01000	1	0	1
RNA_pol_Rpb2_2	PF04561	5	0	5
RNA_pol_Rpo13	PF12136	1	0	1
RNA_POL_M_15KD	PF02150	4	0	4
RNA_pol_Rpb1_1	PF04997	213	191	22
RNA_pol_Rpb5_C	PF01191	121	0	121
RNA_pol_Rpb2_45	PF10385	41	0	41
RNA_pol_Rpb1_3	PF04983	171	158	13
RNA_pol_Rpb1_6	PF04992	90	90	0
RNA_pol_Rpb2_7	PF04560	169	0	169
RNA_pol_Rpb2_1	PF04563	14	0	14
TFIIS_C	PF01096	5	0	5

