partner domain	accession	number of occurrences	number intrachain	number interchain
LRR_8	PF13855	277	221	56
Trypsin	PF00089	5	0	5
LRRNT	PF01462	63	37	26
LRR_6	PF13516	7	7	0
LRRCT	PF01463	20	12	8
LRRNT_2	PF08263	1	1	0
I-set	PF07679	16	3	13
Cys_knot	PF00007	6	0	6
Flagellin_N	PF00669	5	0	5
E1_DerP2_DerF2	PF02221	40	0	40
Hormone_6	PF00236	4	0	4
Lys	PF00062	16	0	16
LRR_7	PF13504	18	18	0
Laminin_N	PF00055	3	0	3
LRR_1	PF00560	30	22	8
LRR_5	PF13306	1	1	0
VWA	PF00092	6	0	6
LRR_4	PF12799	31	31	0
DUF3439	PF11921	44	38	6

