partner domain	accession	number of occurrences	number intrachain	number interchain
RNA_pol_Rpb1_5	PF04998	169	158	11
2-ph_phosp	PF04029	2	0	2
RNA_pol_Rpb1_2	PF00623	5	5	0
GreA_GreB	PF01272	6	0	6
RNA_pol_Rpb2_5	PF04567	106	0	106
RNA_pol_Rpb2_3	PF04565	151	0	151
RNA_pol_Rpb8	PF03870	94	0	94
TFIIS_M	PF07500	4	0	4
RNA_pol_Rpb2_6	PF00562	158	0	158
GreA_GreB_N	PF03449	6	0	6
RNA_pol_Rpb1_7	PF04990	72	72	0
RNA_pol_Rpb2_4	PF04566	95	0	95
RNA_pol_Rpb2_2	PF04561	90	0	90
RNA_pol_Rpb2_45	PF10385	47	0	47
RNA_pol_Rpb1_3	PF04983	160	160	0
RNA_pol_L	PF01193	90	0	90
RNA_pol_Rpb2_1	PF04563	10	0	10
TFIIS_C	PF01096	99	0	99

