partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_S13	PF00416	1	1	0
Ribosomal_L23eN	PF03939	1	0	1
Ribosomal_L13e	PF01294	2	0	2
Ribosomal_L18ae	PF01775	4	0	4
Ribosomal_L37e	PF01907	1	0	1
Ribosomal_L18p	PF00861	1	0	1
Ribosomal_L36e	PF01158	5	5	0
Ribosomal_TL5_C	PF14693	93	0	93
Peptidase_M24	PF00557	1	0	1
Ribosomal_L36	PF00444	29	0	29
RRF	PF01765	4	0	4
Ribosomal_L16	PF00252	1	0	1
Ribosomal_L25p	PF01386	193	0	193
Ribosomal_L15e	PF00827	1	0	1
Ribosomal_L29	PF00831	1	1	0
Ribosomal_L7Ae	PF01248	1	0	1
Ribosomal_L11	PF00298	3	0	3
Ribosomal_L10	PF00466	1	0	1
Ribosomal_L27	PF01016	63	0	63
Ribosomal_L34e	PF01199	2	2	0

