partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L2	PF00181	82	0	82
Ribosomal_L14	PF00238	2	2	0
Ribosomal_L6	PF00347	2	0	2
Ribosomal_L2_C	PF03947	82	0	82
Ribosomal_L35Ae	PF01247	2	0	2
Ribosomal_L30	PF00327	2	2	0
Ribosomal_L18e	PF00828	5	0	5
Ribosomal_L3	PF00297	4	0	4
Ribosomal_L5	PF00281	1	0	1
Ribosomal_L30_N	PF08079	2	2	0
Ribosomal_L29	PF00831	2	0	2
Ribosomal_L28e	PF01778	1	0	1
Ribosomal_L7Ae	PF01248	12	0	12
Ribosomal_L22	PF00237	5	5	0
Ribosomal_L24e	PF01246	1	0	1
Ribosomal_L13	PF00572	2	2	0
Ribosomal_L32e	PF01655	3	0	3
Ribosomal_L34e	PF01199	3	0	3

