partner domain	accession	number of occurrences	number intrachain	number interchain
Axin_b-cat_bind	PF08833	3	0	3
APC_15aa	PF05972	4	0	4
Myc_N	PF01056	8	0	8
IBB	PF01749	61	56	5
Cse1	PF08506	2	0	2
Arm	PF00514	473	425	48
Ku_C	PF03730	10	0	10
BCL9	PF11502	2	0	2
Snurportin1	PF11538	3	0	3
ICAT	PF06384	7	0	7
zf-C4	PF00105	3	0	3
CTNNB1_binding	PF08347	35	0	35
Flu_PB2	PF00604	14	0	14
Hormone_recep	PF00104	1	0	1
MHC_I	PF00129	1	0	1
NUP50	PF08911	50	0	50
Parathyroid	PF01279	1	0	1
Nucleoplasmin	PF03066	10	0	10
Cadherin_C	PF01049	31	0	31
Ig_3	PF13927	1	0	1
APC_crr	PF05923	8	0	8

