partner domain	accession	number of occurrences	number intrachain	number interchain
CDC48_N	PF02359	32	32	0
UVR	PF02151	8	0	8
Peptidase_M41	PF01434	39	22	17
AAA_2	PF07724	116	68	48
Lon_C	PF05362	6	6	0
PCNA_N	PF00705	3	0	3
MecA	PF05389	14	9	5
Clp_N	PF02861	19	13	6
ClpB_D2-small	PF10431	62	62	0
AAA	PF00004	187	11	176
RFC1	PF08519	3	1	2
Proteasome_A_N	PF10584	1	0	1
RuvB_C	PF05491	6	6	0
DNA_pol3_delta2	PF13177	1	0	1
Vps4_C	PF09336	39	39	0
Proteasome	PF00227	15	0	15
DNA_PPF	PF02916	15	0	15
Rep_fac_C	PF08542	10	0	10
gp45-slide_C	PF09116	14	0	14
PCNA_C	PF02747	3	0	3

