partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L2	PF00181	10	5	5
Ribosomal_L39	PF00832	2	2	0
Ribosomal_L35p	PF01632	196	0	196
Ribosomal_L13e	PF01294	6	0	6
Ribosomal_L2_C	PF03947	5	5	0
Ribosomal_L35Ae	PF01247	1	0	1
Ribosomal_L44	PF00935	70	2	68
Ribosomal_L18ae	PF01775	1	1	0
Ribosomal_L30	PF00327	6	0	6
Ribosomal_L37e	PF01907	3	0	3
Ribosomal_L18e	PF00828	79	0	79
Ribosomal_L36e	PF01158	5	0	5
Ribosomal_L11_N	PF03946	1	0	1
Ribosomal_L37ae	PF01780	5	0	5
Ribosom_S12_S23	PF00164	1	1	0
Ribosomal_L5	PF00281	1	0	1
Ribosomal_L30_N	PF08079	2	0	2
Ribosomal_L7Ae	PF01248	1	0	1
Ribosomal_L4	PF00573	9	0	9
Ribosomal_L10	PF00466	9	4	5
Ribosomal_L21p	PF00829	157	0	157
Ribos_L4_asso_C	PF14374	12	0	12
Ribosomal_L32e	PF01655	6	1	5
Ribosomal_L34e	PF01199	1	0	1

