partner domain	accession	number of occurrences	number intrachain	number interchain
Peptidase_C65	PF10275	57	5	52
zf-RING_4	PF14570	1	0	1
Rad60-SLD	PF11976	10	0	10
IBN_N	PF03810	1	0	1
zf-C3HC4	PF00097	5	0	5
E2_bind	PF08825	3	0	3
zf-RING_2	PF13639	6	0	6
IR1-M	PF12185	4	0	4
RanGAP1_C	PF07834	13	0	13
SopA	PF13981	4	0	4
UBA_e1_C	PF09358	1	0	1
SopA_C	PF13979	4	0	4
zf-A20	PF01754	2	0	2
ThiF	PF00899	1	0	1
UBACT	PF02134	1	0	1
zf-C3HC4_2	PF13923	3	0	3
UBA	PF00627	14	8	6
ubiquitin	PF00240	27	0	27
Cbl_N2	PF02761	1	0	1
UBA_e1_thiolCys	PF10585	3	0	3
U-box	PF04564	7	0	7
zf-C3HC4_3	PF13920	9	0	9
Peroxin-22	PF12827	3	0	3
UQ_con	PF00179	184	8	176
Xpo1	PF08389	1	0	1
HECT	PF00632	7	0	7

