partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L14e	PF01929	1	0	1
Ribosomal_L1	PF00687	3	3	0
Ribosomal_L6e_N	PF03868	1	1	0
Ribosomal_L35Ae	PF01247	1	0	1
Ribosomal_L44	PF00935	1	0	1
Ribosomal_L18p	PF00861	5	5	0
SRPRB	PF09439	1	0	1
Ribosomal_L11_N	PF03946	1	0	1
Ribosomal_L3	PF00297	1	0	1
Ribosomal_L6e	PF01159	2	2	0
Ribosomal_L11	PF00298	1	0	1
Ribosomal_L18_c	PF14204	5	5	0
Ribosomal_L21e	PF01157	5	0	5
Ribosomal_L29e	PF01779	1	0	1
Ribosomal_L32e	PF01655	1	0	1
Ribosomal_L5_C	PF00673	5	0	5

