partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L23eN	PF03939	2	0	2
Ribosomal_L2	PF00181	8	3	5
Ribosomal_L14e	PF01929	1	0	1
Ribosomal_L6e_N	PF03868	3	2	1
Ribosomal_L2_C	PF03947	3	3	0
Ribosomal_L35Ae	PF01247	2	0	2
Ribosomal_L30	PF00327	5	0	5
Ribosomal_L18e	PF00828	6	1	5
Ribosomal_L36e	PF01158	1	0	1
Ribosomal_L37ae	PF01780	3	0	3
Ribosomal_S24e	PF01282	1	0	1
Ribosomal_L5	PF00281	1	0	1
Ribosomal_L41	PF05162	2	0	2
Ribosomal_L30_N	PF08079	4	0	4
Ribosomal_L6e	PF01159	4	4	0
Ribosomal_L7Ae	PF01248	2	2	0
Ribosomal_L28e	PF01778	5	0	5
Ribosomal_L22	PF00237	1	0	1
Ribosomal_L19e	PF01280	2	0	2
Ribosomal_L31e	PF01198	1	0	1
Ribosomal_L13	PF00572	1	0	1
Ribos_L4_asso_C	PF14374	1	0	1
Ribosomal_L32e	PF01655	5	0	5
Ribosomal_L40e	PF01020	5	0	5

