partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L44	PF00935	6	0	6
Ribosomal_L30	PF00327	5	5	0
Ribosomal_L18e	PF00828	1	0	1
Ribosomal_L11_N	PF03946	2	2	0
Ribosomal_L3	PF00297	1	1	0
Ribosomal_L37ae	PF01780	2	0	2
Ribosomal_L5	PF00281	1	1	0
Ribosomal_L6e	PF01159	8	0	8
Ribosomal_L30_N	PF08079	5	5	0
Ribosomal_L19e	PF01280	1	0	1
Ribosomal_L11	PF00298	2	2	0
Ribosomal_L31e	PF01198	1	0	1
Ribosomal_L24e	PF01246	1	0	1
Ribosomal_L13	PF00572	3	0	3
Ribosomal_L21e	PF01157	1	0	1
Ribosomal_L32e	PF01655	2	0	2
Ribosomal_L5_C	PF00673	1	1	0

