partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L23eN	PF03939	5	0	5
Ribosomal_L6	PF00347	10	10	0
SecY	PF00344	4	0	4
Ribosomal_L18ae	PF01775	1	0	1
Ribosomal_L18p	PF00861	1	0	1
Ribosomal_L3	PF00297	4	4	0
KOW	PF00467	3	0	3
Ribosomal_S20p	PF01649	1	1	0
SecE	PF00584	1	0	1
Ribosomal_L37ae	PF01780	2	0	2
Ribosomal_L23	PF00276	280	0	280
ubiquitin	PF00240	3	0	3
Ribosomal_L16	PF00252	1	1	0
Ribosomal_L29	PF00831	1	0	1
Ribosomal_L24e	PF01246	1	0	1
Trigger_N	PF05697	2	0	2
SRP54_N	PF02881	2	0	2
Ribosomal_L40e	PF01020	3	0	3

