partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L23eN	PF03939	5	0	5
Ribosomal_L2	PF00181	6	0	6
Ribosomal_L14e	PF01929	1	0	1
Ribosomal_L1	PF00687	2	1	1
Ribosomal_L27e	PF01777	15	0	15
Ribosomal_L6	PF00347	2	0	2
Ribosomal_L18ae	PF01775	1	0	1
Ribosomal_L18e	PF00828	1	0	1
Ribosomal_L37e	PF01907	1	0	1
Ribosomal_L36e	PF01158	5	0	5
KOW	PF00467	5	0	5
Ribosomal_L37ae	PF01780	3	0	3
Ribosomal_L5	PF00281	1	0	1
Ribosomal_S24e	PF01282	1	0	1
Ribosomal_L41	PF05162	5	0	5
Ribosomal_L16	PF00252	2	2	0
Ribosomal_L15e	PF00827	5	0	5
Ribosomal_L7Ae	PF01248	16	5	11
Ribosomal_L28e	PF01778	1	0	1
Ribosomal_L4	PF00573	1	1	0
Ribosomal_L10	PF00466	1	0	1

