partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L2	PF00181	2	0	2
Ribosomal_L14e	PF01929	1	0	1
Ribosomal_L6e_N	PF03868	2	0	2
Ribosomal_L14	PF00238	1	1	0
Ribosomal_L2_C	PF03947	2	0	2
Ribosomal_L35Ae	PF01247	5	5	0
Ribosomal_L30	PF00327	14	14	0
Ribosomal_L44	PF00935	4	0	4
Ribosomal_L18ae	PF01775	7	0	7
Ribosomal_L18e	PF00828	2	0	2
Ribosomal_L18p	PF00861	1	0	1
Ribosomal_L3	PF00297	1	0	1
Ribosomal_L37ae	PF01780	2	2	0
Peptidase_M24	PF00557	1	0	1
Ribosomal_L5	PF00281	2	2	0
ubiquitin	PF00240	1	0	1
Ribosomal_L6e	PF01159	7	0	7
Ribosomal_L7Ae	PF01248	2	0	2
Ribosomal_L10	PF00466	2	0	2
Ribosomal_L24e	PF01246	1	0	1
Ribosomal_60s	PF00428	1	0	1
Ribosomal_L13	PF00572	1	0	1
Ribos_L4_asso_C	PF14374	10	0	10
Ribosomal_L5_C	PF00673	2	2	0
Ribosomal_L32e	PF01655	4	0	4
Ribosomal_L40e	PF01020	1	0	1

