partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L14e	PF01929	4	3	1
Peptidase_C65	PF10275	14	0	14
E3_UbLigase_EDD	PF11547	7	0	7
Ribosomal_L6	PF00347	1	0	1
UIM	PF02809	9	0	9
CUE	PF02845	6	0	6
NIF	PF03031	1	1	0
Ribosomal_L18ae	PF01775	4	1	3
Ribosomal_S28e	PF01200	3	0	3
Ribosomal_L18p	PF00861	1	0	1
Vps36_ESCRT-II	PF11605	2	0	2
zf-RING_2	PF13639	1	0	1
KOW	PF00467	4	3	1
UBA_e1_C	PF09358	4	0	4
Ribosomal_S9	PF00380	3	0	3
Cullin_Nedd8	PF10557	3	0	3
GAT	PF03127	10	0	10
zf-RanBP	PF00641	8	0	8
Ribosomal_S7	PF00177	3	3	0
Ribosomal_S24e	PF01282	3	0	3
ubiquitin	PF00240	184	25	159
IBR	PF01485	1	1	0
Peptidase_C12	PF01088	17	0	17
UBA_e1_thiolCys	PF10585	28	0	28
Josephin	PF02099	6	0	6
GFP	PF01353	1	0	1
zf-UBP	PF02148	6	0	6
Proteasom_Rpn13	PF04683	1	0	1
RS4NT	PF08071	3	3	0
SH3_9	PF14604	2	0	2
zf-C3HC4_3	PF13920	2	0	2
Peptidase_C33	PF05412	1	0	1
Peptidase_C48	PF02902	3	0	3
UQ_con	PF00179	27	0	27
EF-hand_5	PF13202	1	1	0
PCNA_C	PF02747	7	1	6
OTU	PF02338	35	0	35
Ribosomal_L40e	PF01020	4	4	0
V-set	PF07686	4	0	4
UCH	PF00443	28	0	28
Ribosomal_S30	PF04758	3	3	0
Ribosomal_L38e	PF01781	1	0	1
SH3_1	PF00018	1	0	1
UEV	PF05743	3	0	3
BAG	PF02179	2	2	0
Ribonuclease	PF00545	1	1	0
JAB	PF01398	5	0	5
zf-A20	PF01754	24	0	24
ThiF	PF00899	27	0	27
UBACT	PF02134	17	0	17
Flu_B_NS1	PF02942	11	0	11
UBA	PF00627	16	0	16
Ribosomal_S27	PF01599	3	3	0
Ribosomal_L29	PF00831	3	0	3
Ribosomal_L30_N	PF08079	1	0	1
PFU	PF09070	2	0	2
VHS	PF00790	4	0	4
Skp1_POZ	PF03931	30	0	30
SART-1	PF03343	3	0	3
HECT	PF00632	11	0	11

