partner domain	accession	number of occurrences	number intrachain	number interchain
Trigger_C	PF05698	1	0	1
Elong-fact-P_C	PF09285	2	0	2
Ribosomal_S27	PF01599	7	7	0
ubiquitin	PF00240	3	3	0
Ribosomal_S25	PF03297	18	0	18
Ribosomal_S30AE	PF02482	3	0	3
Ribosomal_S26e	PF01283	1	0	1
Ribosomal_S21	PF01165	1	0	1
Ribosomal_L7Ae	PF01248	2	0	2
Ribosomal_S28e	PF01200	19	0	19
Trigger_N	PF05697	1	0	1
EFG_IV	PF03764	2	0	2
Ribosomal_S9	PF00380	276	0	276
Ribosomal_S11	PF00411	271	0	271
Ribosomal_S19e	PF01090	1	0	1

