partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L23eN	PF03939	2	0	2
Ribosomal_L19	PF01245	198	0	198
Ribosomal_L14	PF00238	277	0	277
Ribosomal_L35Ae	PF01247	1	1	0
Ribosomal_L44	PF00935	6	0	6
Ribosomal_S2	PF00318	1	1	0
Ribosomal_L34	PF00468	2	2	0
Ribosomal_L37e	PF01907	1	0	1
Ribosomal_L18p	PF00861	1	0	1
Ribosomal_L36e	PF01158	2	0	2
Ribosomal_L11_N	PF03946	2	0	2
Ribosomal_L37ae	PF01780	4	0	4
Ribosomal_L30_N	PF08079	1	0	1
Ribosomal_L15e	PF00827	2	0	2
Ribosomal_L29	PF00831	4	4	0
Ribosomal_L12	PF00542	8	8	0
Ribosomal_L22	PF00237	2	0	2
Ribosomal_L31e	PF01198	1	0	1
Ribosomal_L24e	PF01246	81	0	81
Ribosomal_L13	PF00572	275	0	275
Ribosomal_L29e	PF01779	5	5	0

