partner domain	accession	number of occurrences	number intrachain	number interchain
Thymosin	PF01290	14	0	14
P21-Arc	PF04062	19	0	19
Cofilin_ADF	PF00241	24	0	24
P34-Arc	PF04045	19	0	19
VitD-bind_III	PF09164	3	0	3
Serum_albumin	PF00273	6	0	6
P16-Arc	PF04699	17	0	17
FH2	PF02181	2	0	2
Actin	PF00022	433	0	433
MHC_I	PF00129	2	0	2
Profilin	PF00235	7	0	7
WH2	PF02205	13	0	13
ADPrib_exo_Tox	PF03496	14	0	14
Exo_endo_phos	PF03372	11	0	11
ARPC4	PF05856	36	0	36
CH	PF00307	18	0	18
RPEL	PF02755	22	0	22
Myosin_head	PF00063	118	0	118
Rtt102p	PF09510	2	0	2
WD40	PF00400	12	0	12
Gelsolin	PF00626	40	0	40

