partner domain	accession	number of occurrences	number intrachain	number interchain
eRF1_3	PF03465	2	0	2
RLI	PF04068	3	3	0
Succ_DH_flav_C	PF02910	12	0	12
Fer4	PF00037	29	27	2
TPP_enzyme_C	PF02775	20	20	0
Oxidored_q6	PF01058	29	0	29
NrfD_2	PF14589	8	0	8
FAD_binding_2	PF00890	12	0	12
APS-reductase_C	PF12139	12	12	0
DUF3197	PF11432	1	0	1
NADH_Oxid_Nqo15	PF11497	32	0	32
Fe_hyd_lg_C	PF02906	8	8	0
Fe_hyd_SSU	PF02256	4	0	4
PsaA_PsaB	PF00223	2	0	2
Molybdop_Fe4S4	PF04879	16	0	16
Cytochrom_CIII	PF02085	2	0	2
Fer4_11	PF13247	8	8	0
Cytochrom_C	PF00034	3	0	3
PSI_PsaE	PF02427	2	0	2
FrhB_FdhB_C	PF04432	1	0	1
PsaD	PF02531	2	0	2
Complex1_49kDa	PF00346	32	0	32
NADH-G_4Fe-4S_3	PF10588	32	0	32
NIR_SIR	PF01077	32	16	16
Fer4_4	PF12800	4	4	0
DUF3470	PF11953	41	39	2
ABC_tran	PF00005	3	3	0

