partner domain	accession	number of occurrences	number intrachain	number interchain
RNA_pol_A_CTD	PF03118	6	0	6
Sigma70_r3	PF04539	26	0	26
RNA_pol_Rpb1_5	PF04998	160	0	160
RNA_pol_Rpb1_2	PF00623	163	0	163
RNA_pol_L_2	PF13656	100	0	100
TFIIB	PF00382	3	0	3
RNA_pol_Rpb2_5	PF04567	106	106	0
RNA_pol_Rpb2_3	PF04565	158	158	0
RNA_pol_Rpb8	PF03870	15	0	15
RNA_pol_Rpb1_4	PF05000	158	0	158
GreA_GreB_N	PF03449	6	0	6
RNA_pol_A_bac	PF01000	160	0	160
TF_Zn_Ribbon	PF08271	4	0	4
RNA_pol_N	PF01194	109	0	109
RNA_pol_Rpb1_1	PF04997	182	0	182
Sigma70_r4	PF04545	26	0	26
RNA_pol_Rpb2_45	PF10385	13	13	0
RNA_pol_Rpb1_3	PF04983	162	0	162
DNA_RNApol_7kD	PF03604	109	0	109
RNA_pol_Rpb2_7	PF04560	161	161	0
RNA_pol_Rpb2_1	PF04563	154	154	0
RNA_pol_L	PF01193	148	0	148
TFIIS_C	PF01096	3	0	3

