partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L39	PF00832	2	0	2
Ribosomal_L6	PF00347	5	0	5
Ribosomal_L31	PF01197	111	0	111
Ribosomal_L35Ae	PF01247	1	1	0
Ribosomal_L30	PF00327	2	2	0
Ribosomal_L37e	PF01907	6	6	0
Ribosomal_L18p	PF00861	84	0	84
Ribosomal_L22e	PF01776	1	0	1
Ribosomal_L5	PF00281	307	304	3
Ribosomal_L41	PF05162	2	0	2
Ribosomal_S4	PF00163	1	1	0
Ribosomal_L30_N	PF08079	2	2	0
Ribosomal_L6e	PF01159	1	0	1
Ribosomal_L31e	PF01198	5	0	5
Ribosomal_L13	PF00572	1	0	1
S4	PF01479	1	1	0
Ribos_L4_asso_C	PF14374	2	0	2
Ribosomal_L21e	PF01157	1	0	1
Ribosomal_S5_C	PF03719	1	0	1
Ribosomal_L5_C	PF00673	1	0	1

