partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L14e	PF01929	1	0	1
Ribosomal_L39	PF00832	6	0	6
Ribosomal_L6	PF00347	4	4	0
Nop	PF01798	19	0	19
Ribosomal_S15	PF00312	1	0	1
Ribosomal_L18e	PF00828	1	0	1
Ribosomal_L36e	PF01158	7	0	7
KOW	PF00467	3	0	3
Ribosomal_L37ae	PF01780	12	0	12
Ribosomal_L23	PF00276	1	1	0
Ribosomal_S7e	PF01251	2	0	2
Ribosomal_S7	PF00177	2	0	2
Ribosomal_L41	PF05162	7	0	7
Nop10p	PF04135	9	0	9
Fibrillarin	PF01269	7	0	7
Ribosomal_L16	PF00252	1	0	1
Ribosomal_L7Ae	PF01248	12	0	12
Ribosomal_L28e	PF01778	1	0	1
Ribosomal_L4	PF00573	5	5	0
Ribosomal_L10	PF00466	4	0	4
HABP4_PAI-RBP1	PF04774	1	0	1
S10_plectin	PF03501	14	0	14
Ribos_L4_asso_C	PF14374	5	5	0
Ribosomal_L40e	PF01020	2	0	2
Ribosomal_L32e	PF01655	2	2	0
Ribosomal_L1	PF00687	1	0	1
Ribosomal_L27e	PF01777	10	0	10
Ribosomal_L37e	PF01907	4	0	4
Ribosomal_L11_N	PF03946	1	0	1
SBP_bac_1	PF01547	4	0	4
Ribosomal_S27	PF01599	13	0	13
Ribosomal_L30_N	PF08079	2	0	2
Ribosomal_L15e	PF00827	79	0	79
Ribosomal_L24e	PF01246	2	0	2
Ribosomal_L34e	PF01199	16	5	11

