partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L2	PF00181	1	0	1
Ribosomal_L14e	PF01929	1	0	1
Ribosomal_L39	PF00832	5	0	5
Ribosomal_L6	PF00347	8	0	8
Ribosomal_L35p	PF01632	2	2	0
Ribosomal_L44	PF00935	2	0	2
Ribosomal_L18e	PF00828	9	0	9
Ribosomal_L37e	PF01907	73	2	71
Ribosomal_L34	PF00468	1	0	1
Ribosomal_S3_C	PF00189	1	1	0
Ribosomal_S24e	PF01282	1	0	1
Ribosomal_L7Ae	PF01248	5	5	0
Ribosomal_L28e	PF01778	3	0	3
Ribosomal_L22	PF00237	5	1	4
Ribosomal_L20	PF00453	23	0	23
Ribos_L4_asso_C	PF14374	11	11	0
Ribosomal_L29e	PF01779	2	2	0
Ribosomal_L34e	PF01199	1	1	0

