partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L39	PF00832	2	2	0
Ribosomal_L14	PF00238	1	0	1
Ribosomal_L44	PF00935	1	0	1
Ribosomal_L18ae	PF01775	1	0	1
Ribosomal_L30	PF00327	1	0	1
Ribosomal_L3	PF00297	1	0	1
Ribosomal_L5	PF00281	4	0	4
Ribosomal_L41	PF05162	2	2	0
ubiquitin	PF00240	1	0	1
Ribosomal_L16	PF00252	1	0	1
Ribosomal_L30_N	PF08079	1	0	1
Ribosomal_L29	PF00831	1	0	1
Ribosomal_L31e	PF01198	5	5	0
Ribosomal_60s	PF00428	2	0	2
Ribosomal_L18_c	PF14204	18	18	0
Ribosomal_L21e	PF01157	76	1	75
Ribosomal_L27	PF01016	80	0	80
Ribosomal_L5_C	PF00673	84	0	84
Ribosomal_L40e	PF01020	1	0	1

