partner domain	accession	number of occurrences	number intrachain	number interchain
DEP	PF00610	4	0	4
Sec16	PF12932	2	0	2
MMS1_N	PF10433	26	0	26
CPSF_A	PF03178	37	0	37
Ribosomal_S17e	PF00833	71	0	71
Ribosomal_S9	PF00380	32	0	32
7tm_1	PF00001	1	0	1
Cytochrom_C	PF00034	6	0	6
Lipase_GDSL_2	PF13472	52	0	52
G-gamma	PF00631	118	0	118
FATC	PF02260	4	0	4
Ribosomal_S6e	PF01092	40	40	0
NB-ARC	PF00931	3	3	0
Ribosomal_S8	PF00410	1	0	1
CAF1C_H4-bd	PF12265	31	26	5
WD40	PF00400	2228	2077	151
Histone	PF00125	7	0	7
G-alpha	PF00503	33	0	33
DUF1899	PF08953	4	4	0
EZH2_WD-Binding	PF11616	2	0	2
Nucleopor_Nup85	PF07575	96	0	96
Cofilin_ADF	PF00241	1	0	1
Ribosomal_S2	PF00318	15	15	0
RGS	PF00615	4	0	4
HORMA	PF02301	4	0	4
Ribosomal_S5	PF00333	2	0	2
P16-Arc	PF04699	17	0	17
N-SET	PF11764	33	0	33
Methyltransf_4	PF02390	2	0	2
Nup96	PF12110	62	0	62
Actin	PF00022	12	0	12
PI3_PI4_kinase	PF00454	30	0	30
Coatomer_WDAD	PF04053	4	4	0
SBP_bac_1	PF01547	2	0	2
PH	PF00169	21	0	21
IRK	PF01007	2	0	2
DUF1900	PF08954	6	6	0
ARPC4	PF05856	38	0	38
PRMT5	PF05185	2	0	2
Mad3_BUB1_II	PF08171	14	0	14
Sec16_C	PF12931	8	0	8
Phosducin	PF02114	28	0	28
Ribosomal_S4e	PF00900	7	0	7

