partner domain	accession	number of occurrences	number intrachain	number interchain
RNA_pol_Rpb1_5	PF04998	171	158	13
2-ph_phosp	PF04029	2	0	2
RNA_pol_Rpb1_2	PF00623	158	158	0
RNA_pol_L_2	PF13656	100	0	100
RNA_pol_Rpb1_1	PF04997	3	0	3
RNA_pol_Rpb8	PF03870	98	0	98
RNA_pol_Rpb6	PF01192	60	0	60
RNA_pol_Rpb1_4	PF05000	160	160	0
RNA_pol_Rpb2_6	PF00562	162	0	162
GreA_GreB_N	PF03449	6	0	6
RNA_pol_A_bac	PF01000	42	0	42
RNA_pol_Rpb1_6	PF04992	90	90	0
RNA_pol_Rpb2_7	PF04560	156	0	156
RNA_pol_L	PF01193	110	0	110
TFIIS_C	PF01096	2	0	2

