partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L1	PF00687	2	0	2
Ribosomal_L31	PF01197	107	0	107
Ribosomal_L35Ae	PF01247	1	1	0
Ribosomal_L30	PF00327	2	2	0
Ribosomal_L18p	PF00861	4	0	4
Ribosomal_L37e	PF01907	6	6	0
Ribosomal_L18e	PF00828	1	0	1
Ribosomal_L22e	PF01776	1	0	1
Ribosomal_L37ae	PF01780	1	0	1
Ribosomal_L5	PF00281	1	0	1
Ribosomal_S4	PF00163	1	1	0
Ribosomal_L30_N	PF08079	2	2	0
Ribosomal_L6e	PF01159	1	0	1
Ribosomal_L19e	PF01280	1	0	1
S4	PF01479	1	1	0
Ribosomal_L13	PF00572	5	0	5
Ribos_L4_asso_C	PF14374	2	0	2
Ribosomal_L32e	PF01655	1	0	1
Ribosomal_L34e	PF01199	1	0	1
Ribosomal_L5_C	PF00673	307	304	3

