partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_S13	PF00416	2	0	2
Ribosomal_S30	PF04758	1	0	1
Ribosomal_S19	PF00203	2	0	2
Ribosomal_S15	PF00312	6	0	6
Ribosomal_S5	PF00333	4	0	4
Ribosomal_S13_N	PF08069	12	0	12
Ribosomal_S3_C	PF00189	4	0	4
Stm1_N	PF09598	2	2	0
Ribosomal_S9	PF00380	1	0	1
Ribosomal_S27	PF01599	1	0	1
Ribosomal_L7Ae	PF01248	2	0	2
KH_2	PF07650	2	0	2
HABP4_PAI-RBP1	PF04774	2	2	0
S10_plectin	PF03501	2	0	2
EFG_IV	PF03764	2	0	2
Ribosomal_S8	PF00410	14	0	14
S4	PF01479	1	0	1

