partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L14	PF00238	1	1	0
Ribosomal_L35Ae	PF01247	5	5	0
Ribosomal_L44	PF00935	1	0	1
Ribosomal_L18ae	PF01775	2	0	2
Ribosomal_L18e	PF00828	6	0	6
Ribosomal_L18p	PF00861	1	0	1
Ribosomal_L37ae	PF01780	2	2	0
Peptidase_M24	PF00557	1	0	1
Ribosomal_L5	PF00281	2	2	0
Ribosomal_L6e	PF01159	4	0	4
Ribosomal_L30_N	PF08079	14	14	0
Ribosomal_L10	PF00466	4	0	4
Ribosomal_L24e	PF01246	1	0	1
Ribosomal_L32e	PF01655	5	0	5
Ribosomal_L27	PF01016	1	0	1
Ribosomal_L5_C	PF00673	2	2	0

