partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L41	PF05162	5	0	5
Ribosomal_L16	PF00252	5	5	0
Ribosomal_L2_C	PF03947	5	0	5
Ribosomal_L13e	PF01294	9	0	9
Ribosomal_L7Ae	PF01248	7	0	7
Ribosomal_L18ae	PF01775	4	0	4
Ribosomal_L11	PF00298	1	1	0
Ribosomal_L18e	PF00828	5	0	5
Ribosomal_L11_N	PF03946	3	1	2
Ribosomal_L3	PF00297	2	0	2
KOW	PF00467	1	0	1
Ribosomal_L13	PF00572	2	2	0
Ribosomal_L40e	PF01020	2	0	2
Peptidase_M24	PF00557	1	0	1
Ribosomal_L32e	PF01655	1	0	1
Ribosomal_L34e	PF01199	5	0	5

