partner domain	accession	number of occurrences	number intrachain	number interchain
Death	PF00531	4	0	4
Lectin_leg-like	PF03388	3	0	3
EF-hand_6	PF13405	35	35	0
Pkinase	PF00069	40	38	2
Pro_isomerase	PF00160	7	0	7
Metallophos	PF00149	10	0	10
Flavodoxin_1	PF00258	5	0	5
Shal-type	PF11601	10	0	10
CaMBD	PF02888	7	0	7
Troponin	PF00992	10	0	10
IQ	PF00612	41	0	41
HEAT	PF02985	2	0	2
FKBP_C	PF00254	19	10	9
CH	PF00307	1	0	1
EF-hand_7	PF13499	289	149	140
MARCKS	PF02063	2	0	2
EF-hand_8	PF13833	432	399	33
Myosin_head	PF00063	65	0	65
EF-hand_1	PF00036	457	367	90
ATP_Ca_trans_C	PF12424	3	0	3
Ca_chan_IQ	PF08763	32	0	32
EF-hand_5	PF13202	41	39	2

