partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L2	PF00181	4	0	4
Ribosomal_L38e	PF01781	2	0	2
Ribosomal_L6	PF00347	1	0	1
Ribosomal_L30	PF00327	4	0	4
Ribosomal_L18ae	PF01775	3	2	1
Ribosomal_L18e	PF00828	9	4	5
Ribosomal_L11_N	PF03946	6	0	6
Ribosomal_L16	PF00252	1	0	1
Ribosomal_L30_N	PF08079	2	0	2
Ribosomal_L28e	PF01778	2	0	2
Ribosomal_L7Ae	PF01248	4	0	4
Ribosomal_L19e	PF01280	2	0	2
Ribosomal_L11	PF00298	22	0	22
Ribosomal_L10	PF00466	1	0	1
Ribosomal_60s	PF00428	4	0	4
Ribos_L4_asso_C	PF14374	4	0	4
Ribosomal_L29e	PF01779	1	0	1
Ribosomal_L34e	PF01199	1	0	1

