partner domain	accession	number of occurrences	number intrachain	number interchain
Death	PF00531	2	0	2
Pik1	PF11522	1	0	1
EF-hand_6	PF13405	3	3	0
Pkinase	PF00069	1	1	0
Metallophos	PF00149	1	0	1
Sfi1	PF08457	13	0	13
EnY2	PF10163	2	0	2
SAC3	PF12209	10	0	10
PI3Ka	PF00613	3	0	3
FGF	PF00167	1	0	1
CaMBD	PF02888	10	0	10
Troponin	PF00992	4	0	4
IQ	PF00612	21	4	17
Melittin	PF01372	2	0	2
CH	PF00307	1	0	1
GFP	PF01353	7	6	1
EF-hand_7	PF13499	457	367	90
F-actin_cap_A	PF01267	3	0	3
MARCKS	PF02063	1	0	1
Myosin_head	PF00063	8	0	8
EF-hand_8	PF13833	33	33	0
EF-hand_1	PF00036	231	134	97
S_100	PF01023	79	62	17
ATP_Ca_trans_C	PF12424	2	0	2
CaATP_NAI	PF12515	4	0	4
KCNQ_channel	PF03520	4	0	4
Synuclein	PF01387	3	0	3
Ca_chan_IQ	PF08763	16	0	16
EF-hand_5	PF13202	6	6	0

