partner domain	accession	number of occurrences	number intrachain	number interchain
SRP_SPB	PF02978	1	0	1
Ribosomal_L39	PF00832	2	0	2
Ribosomal_L17	PF01196	171	0	171
Pep_deformylase	PF01327	1	0	1
Ribosomal_L28e	PF01778	1	0	1
Ribosomal_L22	PF00237	1	0	1
Ribosomal_L4	PF00573	5	1	4
Ribosomal_L37e	PF01907	1	0	1
Ribosomal_L3	PF00297	2	0	2
Ribosomal_S16	PF00886	1	1	0
Ribosomal_60s	PF00428	2	2	0
Ribosomal_L32p	PF01783	138	0	138
Ribos_L4_asso_C	PF14374	1	1	0
Ribosomal_L37ae	PF01780	5	5	0
Ribosomal_L32e	PF01655	1	0	1

