partner domain	accession	number of occurrences	number intrachain	number interchain
PrmA	PF06325	17	0	17
Ribosomal_L14e	PF01929	2	0	2
eRF1_3	PF03465	2	0	2
Ribosomal_L39	PF00832	1	0	1
Ribosomal_L38e	PF01781	2	2	0
Ribosomal_L13e	PF01294	1	0	1
Ribosomal_L35Ae	PF01247	2	2	0
Ribosomal_L18e	PF00828	1	0	1
Ribosomal_L36e	PF01158	3	1	2
Ribosomal_L3	PF00297	2	0	2
Ribosomal_L11_N	PF03946	1	0	1
Ribosomal_S9	PF00380	1	1	0
EFG_C	PF00679	1	0	1
Ribosomal_L23	PF00276	1	0	1
Ribosomal_L6e	PF01159	1	0	1
Ribosomal_L12	PF00542	11	0	11
Ribosomal_L7Ae	PF01248	1	0	1
Ribosomal_L11	PF00298	152	150	2
Ribosomal_L10	PF00466	6	0	6
Ribosomal_L31e	PF01198	1	0	1

