partner domain	accession	number of occurrences	number intrachain	number interchain
TRAPP	PF04051	1	0	1
IpgD	PF05925	1	0	1
Ran_BP1	PF00638	21	0	21
VPS9	PF02204	14	0	14
YopE	PF03545	3	0	3
DENN	PF02141	2	0	2
uDENN	PF03456	2	0	2
RUN	PF02759	1	0	1
PAS_9	PF13426	3	3	0
Rho_GDI	PF02115	7	0	7
zf-RanBP	PF00641	11	0	11
RhoGAP	PF00620	10	0	10
RasGEF	PF00617	12	0	12
RasGEF_N	PF00618	10	0	10
TPR_1	PF00515	1	0	1
Plexin_cytopl	PF08337	11	0	11
Rbsn	PF11464	4	0	4
FYVE_2	PF02318	7	0	7
LRR_6	PF13516	4	0	4
RBD	PF02196	4	0	4
RILP	PF11461	1	0	1
Rap_GAP	PF02145	2	0	2
Drf_GBD	PF06371	7	0	7
RCC1	PF00415	16	0	16
Ras	PF00071	171	1	170
Xpo1	PF08389	16	0	16
IBN_N	PF03810	20	0	20
Rac1	PF09632	4	0	4
GMP_PDE_delta	PF05351	1	0	1
Sybindin	PF04099	8	0	8
Mss4	PF04421	2	0	2
Ras_bdg_2	PF14847	1	0	1
DrrA_P4M	PF14860	1	0	1
RBD-FIP	PF09457	17	0	17
HR1	PF02185	2	0	2
Sec2p	PF06428	4	0	4
PBD	PF00786	22	0	22
TIG	PF01833	4	0	4
CAS_CSE1	PF03378	1	0	1
RabGAP-TBC	PF00566	2	0	2
Ded_cyto	PF06920	10	0	10
Drf_FH3	PF06367	1	0	1
IpaB_EvcA	PF03278	17	0	17
EspG	PF06872	4	0	4
RasGAP	PF00616	1	0	1
FERM_M	PF00373	3	0	3
RhoGEF	PF00621	39	0	39
PDZ	PF00595	2	0	2
RA	PF00788	7	0	7
PRONE	PF03759	8	0	8
SopE_GEF	PF07487	3	0	3
Cse1	PF08506	1	0	1
CRM1_C	PF08767	10	0	10
Pkinase	PF00069	2	0	2
NTF2	PF02136	5	0	5
Sec3-PIP2_bind	PF15277	3	0	3
dDENN	PF03455	2	0	2
Rho_Binding	PF08912	4	0	4
Arfaptin	PF06456	6	0	6
PI3_PI4_kinase	PF00454	1	0	1
PH	PF00169	9	0	9
ADPrib_exo_Tox	PF03496	3	0	3
GTPase_binding	PF09027	1	0	1
PI3K_rbd	PF00794	1	0	1
GDI	PF00996	16	0	16

