partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L14e	PF01929	6	6	0
Ribosomal_L1	PF00687	3	3	0
Ribosomal_L27e	PF01777	4	4	0
Spt4	PF06093	2	0	2
Ribosomal_S30	PF04758	4	4	0
Ribosomal_L39	PF00832	7	0	7
Ribosomal_S18	PF01084	1	1	0
Ribosomal_L38e	PF01781	1	1	0
CTD	PF12815	1	1	0
Ribosomal_L18ae	PF01775	4	0	4
Ribosomal_L36e	PF01158	1	0	1
KOW	PF00467	2	0	2
SUI1	PF01253	2	0	2
ubiquitin	PF00240	4	3	1
Ribosomal_S17	PF00366	1	0	1
Ribosomal_L29	PF00831	3	0	3
NusG	PF02357	5	2	3
Ribosomal_L7Ae	PF01248	3	0	3
Spt5-NGN	PF03439	2	0	2
DUF1312	PF07009	2	0	2
RS4NT	PF08071	2	2	0
Ribosomal_S10	PF00338	1	0	1
S4	PF01479	6	6	0
Ribosomal_S4e	PF00900	7	7	0
Ribosomal_L34e	PF01199	5	0	5
Ribosomal_L40e	PF01020	4	3	1

