partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L23eN	PF03939	4	0	4
Ribosomal_L2	PF00181	1	0	1
Ribosomal_L27e	PF01777	1	0	1
Ribosomal_L39	PF00832	5	0	5
Ribosomal_L6e_N	PF03868	2	0	2
Ribosomal_L2_C	PF03947	309	309	0
Ribosomal_L13e	PF01294	5	0	5
Ribosomal_L44	PF00935	5	0	5
Ribosomal_L18ae	PF01775	1	0	1
Ribosomal_L18e	PF00828	10	5	5
Ribosomal_L9_C	PF03948	3	0	3
Ribosomal_L37ae	PF01780	82	0	82
Ribosomal_L33	PF00471	2	2	0
Ribosomal_S24e	PF01282	1	0	1
Ribosomal_L36	PF00444	2	2	0
Ribosomal_L15e	PF00827	1	0	1
Ribosomal_L30_N	PF08079	2	0	2
Ribosomal_L28e	PF01778	1	1	0
Ribosomal_L4	PF00573	1	0	1
Ribosomal_L10	PF00466	4	0	4
Ribosomal_L32e	PF01655	8	3	5
Ribosomal_L34e	PF01199	6	0	6

