partner domain	accession	number of occurrences	number intrachain	number interchain
Ribosomal_L38e	PF01781	3	3	0
Ribosomal_L6	PF00347	2	0	2
Ribosomal_L44	PF00935	1	0	1
Ribosomal_L18ae	PF01775	8	0	8
Ribosomal_L11_N	PF03946	2	0	2
KOW	PF00467	6	6	0
Ribosomal_L22e	PF01776	1	0	1
Ribosomal_L23	PF00276	1	0	1
ubiquitin	PF00240	4	3	1
Ribosomal_L6e	PF01159	9	0	9
Ribosomal_L30_N	PF08079	1	0	1
Ribosomal_L7Ae	PF01248	1	0	1
Ribosomal_L4	PF00573	1	0	1
Ribosomal_L31e	PF01198	1	0	1
Ribosomal_60s	PF00428	1	0	1
Ribosomal_L34e	PF01199	1	0	1
Ribosomal_L32e	PF01655	1	0	1
Ribosomal_L40e	PF01020	6	5	1

