partner domain	accession	number of occurrences	number intrachain	number interchain
CoxIIa	PF08113	34	0	34
COX7a	PF02238	51	0	51
FixO	PF02433	1	0	1
COX8	PF02285	51	0	51
COX3	PF00510	64	2	62
COX2-transmemb	PF09125	33	0	33
COX_ARM	PF06481	2	0	2
Cytochrom_C	PF00034	1	0	1
COX6B	PF02297	51	0	51
COX7C	PF02935	51	0	51
COX5B	PF01215	51	0	51
COX6C	PF02937	51	0	51
COX4_pro_2	PF07835	7	0	7
Cytochrome_CBB3	PF13442	4	0	4
COX6A	PF02046	101	0	101
COX2_TM	PF02790	78	0	78
COX4	PF02936	51	0	51
COX7B	PF05392	51	0	51
COX2	PF00116	114	0	114

